Customer ID,Recency,Frequency,Monetary,Cluster
CUST001,39,1,150,1
CUST002,309,1,1000,0
CUST003,354,1,30,2
CUST004,226,1,500,2
CUST005,241,1,100,2
CUST006,252,1,30,2
CUST007,295,1,50,2
CUST008,314,1,100,2
CUST009,20,1,600,1
CUST010,87,1,200,1
CUST011,322,1,100,2
CUST012,64,1,75,1
CUST013,150,1,1500,3
CUST014,350,1,120,2
CUST015,351,1,2000,0
CUST016,319,1,1500,0
CUST017,255,1,100,2
CUST018,247,1,50,2
CUST019,108,1,50,1
CUST020,58,1,900,3
CUST021,353,1,500,2
CUST022,79,1,100,1
CUST023,265,1,120,2
CUST024,34,1,300,1
CUST025,7,1,50,1
CUST026,87,1,1000,3
CUST027,152,1,50,1
CUST028,254,1,500,2
CUST029,137,1,30,1
CUST030,65,1,900,3
CUST031,224,1,1200,0
CUST032,363,1,90,2
CUST033,285,1,100,2
CUST034,9,1,150,1
CUST035,150,1,900,3
CUST036,192,1,900,0
CUST037,224,1,75,2
CUST038,287,1,200,2
CUST039,256,1,120,2
CUST040,194,1,50,2
CUST041,314,1,50,2
CUST042,319,1,900,0
CUST043,172,1,300,1
CUST044,317,1,25,2
CUST045,183,1,30,1
CUST046,190,1,1200,0
CUST047,57,1,1500,3
CUST048,231,1,900,0
CUST049,344,1,1000,0
CUST050,131,1,75,1
CUST051,92,1,75,1
CUST052,303,1,300,2
CUST053,173,1,100,1
CUST054,326,1,1500,0
CUST055,84,1,120,1
CUST056,216,1,900,0
CUST057,45,1,30,1
CUST058,50,1,1200,3
CUST059,181,1,50,1
CUST060,71,1,150,1
CUST061,268,1,200,2
CUST062,6,1,100,1
CUST063,331,1,50,2
CUST064,343,1,100,2
CUST065,28,1,2000,3
CUST066,250,1,30,2
CUST067,218,1,1200,0
CUST068,326,1,300,2
CUST069,247,1,75,2
CUST070,315,1,300,2
CUST071,172,1,100,1
CUST072,224,1,2000,0
CUST073,134,1,90,1
CUST074,41,1,2000,3
CUST075,180,1,200,1
CUST076,283,1,100,2
CUST077,177,1,100,1
CUST078,185,1,1500,0
CUST079,259,1,300,2
CUST080,23,1,60,1
CUST081,230,1,50,2
CUST082,7,1,200,1
CUST083,17,1,100,1
CUST084,35,1,90,1
CUST085,330,1,150,2
CUST086,55,1,90,1
CUST087,41,1,100,1
CUST088,279,1,500,2
CUST089,93,1,2000,3
CUST090,241,1,30,2
CUST091,283,1,500,2
CUST092,130,1,120,1
CUST093,172,1,2000,3
CUST094,228,1,1000,0
CUST095,39,1,60,1
CUST096,14,1,600,1
CUST097,81,1,1000,3
CUST098,254,1,100,2
CUST099,16,1,1200,3
CUST100,200,1,30,2
CUST1000,265,1,120,2
CUST101,338,1,600,2
CUST102,249,1,50,2
CUST103,350,1,25,2
CUST104,205,1,1000,0
CUST105,161,1,500,1
CUST106,229,1,50,2
CUST107,333,1,1200,0
CUST108,258,1,75,2
CUST109,76,1,2000,3
CUST110,205,1,900,0
CUST111,258,1,1500,0
CUST112,31,1,1500,3
CUST113,111,1,50,1
CUST114,164,1,100,1
CUST115,37,1,1500,3
CUST116,132,1,30,1
CUST117,293,1,1000,0
CUST118,231,1,2000,0
CUST119,295,1,150,2
CUST120,240,1,50,2
CUST121,79,1,200,1
CUST122,91,1,120,1
CUST123,232,1,60,2
CUST124,67,1,2000,3
CUST125,147,1,100,1
CUST126,68,1,90,1
CUST127,162,1,50,1
CUST128,181,1,500,1
CUST129,254,1,600,2
CUST130,296,1,500,2
CUST131,106,1,600,1
CUST132,114,1,200,1
CUST133,320,1,900,0
CUST134,342,1,50,2
CUST135,310,1,50,2
CUST136,288,1,600,2
CUST137,45,1,1000,3
CUST138,285,1,200,2
CUST139,18,1,2000,3
CUST140,150,1,30,1
CUST141,61,1,50,1
CUST142,334,1,1200,0
CUST143,169,1,50,1
CUST144,171,1,1500,3
CUST145,61,1,75,1
CUST146,127,1,200,1
CUST147,96,1,300,1
CUST148,238,1,60,2
CUST149,83,1,75,1
CUST150,361,1,120,2
CUST151,18,1,50,1
CUST152,308,1,2000,0
CUST153,17,1,1000,3
CUST154,92,1,900,3
CUST155,230,1,2000,0
CUST156,38,1,100,1
CUST157,192,1,2000,0
CUST158,309,1,600,2
CUST159,216,1,200,2
CUST160,144,1,100,1
CUST161,286,1,1000,0
CUST162,134,1,60,1
CUST163,365,1,150,2
CUST164,232,1,1500,0
CUST165,110,1,1200,3
CUST166,275,1,2000,0
CUST167,107,1,150,1
CUST168,312,1,300,2
CUST169,46,1,1500,3
CUST170,214,1,50,2
CUST171,39,1,900,3
CUST172,107,1,50,1
CUST173,55,1,120,1
CUST174,265,1,300,2
CUST175,288,1,100,2
CUST176,175,1,100,1
CUST177,284,1,100,2
CUST178,90,1,60,1
CUST179,95,1,300,1
CUST180,366,1,900,0
CUST181,60,1,1200,3
CUST182,201,1,120,2
CUST183,116,1,900,3
CUST184,357,1,200,2
CUST185,309,1,25,2
CUST186,181,1,200,1
CUST187,209,1,100,2
CUST188,244,1,75,2
CUST189,337,1,50,2
CUST190,243,1,90,2
CUST191,76,1,25,1
CUST192,326,1,100,2
CUST193,323,1,1500,0
CUST194,118,1,200,1
CUST195,331,1,30,2
CUST196,94,1,900,3
CUST197,302,1,200,2
CUST198,301,1,900,0
CUST199,29,1,1500,3
CUST200,123,1,150,1
CUST201,85,1,25,1
CUST202,282,1,1200,0
CUST203,231,1,1000,0
CUST204,96,1,25,1
CUST205,56,1,25,1
CUST206,150,1,25,1
CUST207,258,1,50,2
CUST208,90,1,200,1
CUST209,13,1,200,1
CUST210,264,1,200,2
CUST211,1,1,1500,3
CUST212,207,1,1500,0
CUST213,162,1,1500,3
CUST214,23,1,60,1
CUST215,34,1,1500,3
CUST216,175,1,100,1
CUST217,142,1,200,1
CUST218,102,1,90,1
CUST219,135,1,90,1
CUST220,305,1,500,2
CUST221,240,1,600,2
CUST222,251,1,120,2
CUST223,334,1,25,2
CUST224,193,1,50,2
CUST225,356,1,100,2
CUST226,65,1,50,1
CUST227,83,1,100,1
CUST228,249,1,60,2
CUST229,65,1,90,1
CUST230,254,1,25,2
CUST231,363,1,150,2
CUST232,330,1,25,2
CUST233,4,1,600,1
CUST234,43,1,50,1
CUST235,336,1,1000,0
CUST236,249,1,25,2
CUST237,332,1,1000,0
CUST238,350,1,500,2
CUST239,197,1,1500,0
CUST240,330,1,300,2
CUST241,103,1,75,1
CUST242,245,1,25,2
CUST243,224,1,900,0
CUST244,24,1,100,1
CUST245,118,1,90,1
CUST246,257,1,50,2
CUST247,90,1,60,1
CUST248,299,1,900,0
CUST249,74,1,50,1
CUST250,71,1,50,1
CUST251,124,1,200,1
CUST252,242,1,300,2
CUST253,124,1,2000,3
CUST254,158,1,500,1
CUST255,269,1,30,2
CUST256,318,1,1000,0
CUST257,317,1,2000,0
CUST258,29,1,50,1
CUST259,146,1,200,1
CUST260,185,1,60,2
CUST261,150,1,50,1
CUST262,156,1,120,1
CUST263,127,1,60,1
CUST264,339,1,900,0
CUST265,22,1,900,3
CUST266,32,1,60,1
CUST267,36,1,90,1
CUST268,316,1,30,2
CUST269,335,1,2000,0
CUST270,160,1,300,1
CUST271,193,1,120,2
CUST272,311,1,100,2
CUST273,239,1,50,2
CUST274,268,1,1000,0
CUST275,269,1,1000,0
CUST276,92,1,100,1
CUST277,137,1,100,1
CUST278,295,1,100,2
CUST279,150,1,500,1
CUST280,273,1,1500,0
CUST281,224,1,2000,0
CUST282,130,1,200,1
CUST283,239,1,500,2
CUST284,328,1,200,2
CUST285,140,1,25,1
CUST286,85,1,50,1
CUST287,316,1,100,2
CUST288,341,1,120,2
CUST289,33,1,60,1
CUST290,90,1,600,1
CUST291,359,1,600,2
CUST292,319,1,1200,0
CUST293,245,1,90,2
CUST294,281,1,90,2
CUST295,158,1,900,3
CUST296,118,1,1200,3
CUST297,120,1,1000,3
CUST298,257,1,1200,0
CUST299,161,1,1000,3
CUST300,336,1,200,2
CUST301,282,1,120,2
CUST302,172,1,600,1
CUST303,365,1,90,2
CUST304,167,1,60,1
CUST305,231,1,30,2
CUST306,134,1,50,1
CUST307,220,1,50,2
CUST308,150,1,1200,3
CUST309,10,1,25,1
CUST310,82,1,25,1
CUST311,28,1,100,1
CUST312,117,1,120,1
CUST313,287,1,1500,0
CUST314,269,1,120,2
CUST315,215,1,60,2
CUST316,255,1,50,2
CUST317,337,1,90,2
CUST318,70,1,25,1
CUST319,89,1,500,1
CUST320,335,1,1200,0
CUST321,206,1,50,2
CUST322,337,1,500,2
CUST323,341,1,900,0
CUST324,67,1,150,1
CUST325,122,1,50,1
CUST326,109,1,75,1
CUST327,95,1,150,1
CUST328,286,1,100,2
CUST329,337,1,100,2
CUST330,106,1,200,1
CUST331,325,1,90,2
CUST332,271,1,1200,0
CUST333,331,1,1200,0
CUST334,62,1,900,3
CUST335,332,1,120,2
CUST336,21,1,150,1
CUST337,246,1,500,2
CUST338,160,1,100,1
CUST339,305,1,50,2
CUST340,75,1,1200,3
CUST341,240,1,200,2
CUST342,70,1,2000,3
CUST343,62,1,50,1
CUST344,346,1,30,2
CUST345,49,1,30,1
CUST346,325,1,1000,0
CUST347,152,1,25,1
CUST348,30,1,600,1
CUST349,68,1,50,1
CUST350,77,1,75,1
CUST351,99,1,90,1
CUST352,205,1,1000,0
CUST353,233,1,500,2
CUST354,262,1,200,2
CUST355,24,1,500,1
CUST356,206,1,1500,0
CUST357,244,1,75,2
CUST358,231,1,300,2
CUST359,164,1,50,1
CUST360,299,1,100,2
CUST361,23,1,1200,3
CUST362,36,1,25,1
CUST363,213,1,25,2
CUST364,132,1,500,1
CUST365,205,1,300,2
CUST366,329,1,100,2
CUST367,362,1,50,2
CUST368,132,1,1200,3
CUST369,48,1,1500,3
CUST370,78,1,60,1
CUST371,315,1,25,2
CUST372,329,1,1500,0
CUST373,91,1,600,1
CUST374,257,1,75,2
CUST375,107,1,50,1
CUST376,231,1,30,2
CUST377,299,1,200,2
CUST378,188,1,300,2
CUST379,331,1,25,2
CUST380,241,1,600,2
CUST381,177,1,100,1
CUST382,221,1,1000,0
CUST383,286,1,90,2
CUST384,142,1,500,1
CUST385,88,1,1500,3
CUST386,6,1,600,1
CUST387,212,1,30,2
CUST388,53,1,25,1
CUST389,32,1,50,1
CUST390,96,1,100,1
CUST391,362,1,50,2
CUST392,25,1,600,1
CUST393,83,1,1000,3
CUST394,213,1,500,2
CUST395,27,1,1000,3
CUST396,313,1,30,2
CUST397,298,1,25,2
CUST398,231,1,600,2
CUST399,307,1,60,2
CUST400,312,1,200,2
CUST401,83,1,300,1
CUST402,287,1,600,2
CUST403,227,1,600,2
CUST404,222,1,1000,0
CUST405,57,1,1200,3
CUST406,259,1,100,2
CUST407,191,1,900,0
CUST408,262,1,500,2
CUST409,15,1,900,3
CUST410,42,1,100,1
CUST411,231,1,200,2
CUST412,108,1,2000,3
CUST413,116,1,75,1
CUST414,238,1,100,2
CUST415,340,1,60,2
CUST416,319,1,2000,0
CUST417,42,1,900,3
CUST418,150,1,1000,3
CUST419,225,1,90,2
CUST420,344,1,2000,0
CUST421,365,1,1500,0
CUST422,196,1,90,2
CUST423,300,1,25,2
CUST424,40,1,1200,3
CUST425,232,1,120,2
CUST426,284,1,150,2
CUST427,140,1,25,1
CUST428,84,1,200,1
CUST429,5,1,50,1
CUST430,148,1,900,3
CUST431,79,1,1200,3
CUST432,362,1,1000,0
CUST433,309,1,200,2
CUST434,328,1,50,2
CUST435,13,1,900,3
CUST436,290,1,120,2
CUST437,87,1,1200,3
CUST438,348,1,30,2
CUST439,177,1,75,1
CUST440,68,1,600,1
CUST441,84,1,1200,3
CUST442,291,1,100,2
CUST443,146,1,600,1
CUST444,301,1,90,2
CUST445,345,1,300,2
CUST446,209,1,50,2
CUST447,180,1,2000,3
CUST448,346,1,60,2
CUST449,183,1,200,1
CUST450,259,1,50,2
CUST451,17,1,30,1
CUST452,239,1,1500,0
CUST453,25,1,1000,3
CUST454,314,1,25,2
CUST455,185,1,100,2
CUST456,80,1,60,1
CUST457,158,1,900,3
CUST458,49,1,100,1
CUST459,287,1,1200,0
CUST460,245,1,50,2
CUST461,283,1,1000,0
CUST462,276,1,1200,0
CUST463,155,1,1500,3
CUST464,354,1,600,2
CUST465,275,1,150,2
CUST466,196,1,100,2
CUST467,156,1,150,1
CUST468,24,1,25,1
CUST469,239,1,75,2
CUST470,230,1,1000,0
CUST471,285,1,150,2
CUST472,7,1,900,3
CUST473,311,1,50,2
CUST474,171,1,1500,3
CUST475,347,1,75,2
CUST476,126,1,2000,3
CUST477,253,1,120,2
CUST478,264,1,60,2
CUST479,131,1,1200,3
CUST480,187,1,2000,0
CUST481,210,1,1200,0
CUST482,250,1,1200,0
CUST483,252,1,30,2
CUST484,354,1,1200,0
CUST485,29,1,30,1
CUST486,268,1,25,2
CUST487,162,1,2000,3
CUST488,198,1,900,0
CUST489,224,1,30,2
CUST490,331,1,150,2
CUST491,224,1,900,0
CUST492,187,1,100,2
CUST493,38,1,50,1
CUST494,106,1,200,1
CUST495,162,1,60,1
CUST496,19,1,600,1
CUST497,92,1,120,1
CUST498,197,1,100,2
CUST499,352,1,60,2
CUST500,307,1,100,2
CUST501,233,1,60,2
CUST502,275,1,150,2
CUST503,69,1,2000,3
CUST504,231,1,150,2
CUST505,347,1,50,2
CUST506,311,1,1500,0
CUST507,61,1,1500,3
CUST508,144,1,600,1
CUST509,190,1,900,0
CUST510,206,1,200,2
CUST511,143,1,100,1
CUST512,56,1,25,1
CUST513,105,1,100,1
CUST514,307,1,300,2
CUST515,169,1,900,3
CUST516,71,1,100,1
CUST517,269,1,100,2
CUST518,236,1,30,2
CUST519,344,1,120,2
CUST520,4,1,100,1
CUST521,143,1,120,1
CUST522,366,1,1500,0
CUST523,100,1,300,1
CUST524,91,1,1200,3
CUST525,15,1,50,1
CUST526,23,1,100,1
CUST527,266,1,50,2
CUST528,180,1,60,1
CUST529,146,1,150,1
CUST530,331,1,120,2
CUST531,26,1,500,1
CUST532,197,1,120,2
CUST533,47,1,1500,3
CUST534,206,1,1000,0
CUST535,27,1,90,1
CUST536,303,1,120,2
CUST537,213,1,500,2
CUST538,107,1,150,1
CUST539,208,1,500,2
CUST540,25,1,900,3
CUST541,157,1,500,1
CUST542,199,1,50,2
CUST543,160,1,600,1
CUST544,10,1,25,1
CUST545,215,1,50,2
CUST546,83,1,200,1
CUST547,301,1,2000,0
CUST548,268,1,60,2
CUST549,151,1,100,1
CUST550,26,1,900,3
CUST551,172,1,900,3
CUST552,20,1,75,1
CUST553,277,1,1200,0
CUST554,51,1,150,1
CUST555,75,1,300,1
CUST556,212,1,50,2
CUST557,159,1,90,1
CUST558,86,1,25,1
CUST559,366,1,1200,0
CUST560,211,1,50,2
CUST561,220,1,2000,0
CUST562,259,1,50,2
CUST563,146,1,60,1
CUST564,70,1,100,1
CUST565,56,1,60,1
CUST566,31,1,30,1
CUST567,202,1,900,0
CUST568,128,1,300,1
CUST569,140,1,200,1
CUST570,140,1,500,1
CUST571,21,1,50,1
CUST572,257,1,2000,0
CUST573,105,1,60,1
CUST574,124,1,50,1
CUST575,280,1,100,2
CUST576,29,1,150,1
CUST577,323,1,2000,0
CUST578,221,1,120,2
CUST579,103,1,30,1
CUST580,27,1,1500,3
CUST581,42,1,60,1
CUST582,49,1,900,3
CUST583,195,1,100,2
CUST584,319,1,200,2
CUST585,246,1,25,2
CUST586,22,1,50,1
CUST587,208,1,1200,0
CUST588,251,1,60,2
CUST589,265,1,1000,0
CUST590,291,1,900,0
CUST591,354,1,100,2
CUST592,343,1,2000,0
CUST593,241,1,60,2
CUST594,123,1,600,1
CUST595,54,1,2000,3
CUST596,329,1,300,2
CUST597,133,1,1200,3
CUST598,154,1,120,1
CUST599,44,1,100,1
CUST600,72,1,1000,3
CUST601,267,1,30,2
CUST602,10,1,300,1
CUST603,170,1,90,1
CUST604,113,1,200,1
CUST605,162,1,1000,3
CUST606,242,1,50,2
CUST607,291,1,75,2
CUST608,31,1,1500,3
CUST609,14,1,100,1
CUST610,364,1,600,2
CUST611,312,1,1500,0
CUST612,149,1,500,1
CUST613,254,1,90,2
CUST614,276,1,1200,0
CUST615,10,1,100,1
CUST616,101,1,100,1
CUST617,129,1,30,1
CUST618,341,1,50,2
CUST619,81,1,100,1
CUST620,239,1,75,2
CUST621,304,1,1000,0
CUST622,133,1,75,1
CUST623,298,1,150,2
CUST624,129,1,900,3
CUST625,25,1,300,1
CUST626,95,1,2000,3
CUST627,80,1,50,1
CUST628,62,1,200,1
CUST629,204,1,50,2
CUST630,140,1,100,1
CUST631,53,1,90,1
CUST632,108,1,100,1
CUST633,148,1,120,1
CUST634,86,1,2000,3
CUST635,138,1,900,3
CUST636,285,1,1500,0
CUST637,123,1,600,1
CUST638,136,1,500,1
CUST639,234,1,200,2
CUST640,240,1,120,2
CUST641,40,1,300,1
CUST642,225,1,100,2
CUST643,100,1,90,1
CUST644,118,1,75,1
CUST645,46,1,120,1
CUST646,244,1,90,2
CUST647,226,1,1500,0
CUST648,141,1,1200,3
CUST649,327,1,600,2
CUST650,1,1,30,1
CUST651,220,1,150,2
CUST652,246,1,100,2
CUST653,227,1,75,2
CUST654,195,1,75,2
CUST655,203,1,500,2
CUST656,90,1,90,1
CUST657,325,1,25,2
CUST658,296,1,25,2
CUST659,289,1,30,2
CUST660,248,1,1000,0
CUST661,170,1,100,1
CUST662,11,1,1000,3
CUST663,288,1,1200,0
CUST664,5,1,2000,3
CUST665,257,1,50,2
CUST666,334,1,150,2
CUST667,154,1,500,1
CUST668,158,1,150,1
CUST669,197,1,1200,0
CUST670,89,1,30,1
CUST671,128,1,150,1
CUST672,154,1,100,1
CUST673,335,1,1500,0
CUST674,261,1,300,2
CUST675,151,1,60,1
CUST676,167,1,1500,3
CUST677,67,1,1500,3
CUST678,10,1,900,3
CUST679,356,1,90,2
CUST680,72,1,900,3
CUST681,172,1,60,1
CUST682,122,1,1200,3
CUST683,363,1,1000,0
CUST684,186,1,1000,0
CUST685,214,1,50,2
CUST686,167,1,200,1
CUST687,152,1,300,1
CUST688,91,1,100,1
CUST689,87,1,100,1
CUST690,58,1,900,3
CUST691,254,1,90,2
CUST692,117,1,100,1
CUST693,254,1,1500,0
CUST694,227,1,50,2
CUST695,143,1,150,1
CUST696,118,1,200,1
CUST697,352,1,500,2
CUST698,167,1,300,1
CUST699,194,1,120,2
CUST700,24,1,2000,3
CUST701,19,1,60,1
CUST702,159,1,600,1
CUST703,282,1,100,2
CUST704,127,1,90,1
CUST705,301,1,50,2
CUST706,48,1,100,1
CUST707,93,1,500,1
CUST708,353,1,900,0
CUST709,165,1,1000,3
CUST710,63,1,1500,3
CUST711,78,1,1500,3
CUST712,27,1,50,1
CUST713,353,1,75,2
CUST714,324,1,500,2
CUST715,37,1,100,1
CUST716,147,1,1200,3
CUST717,297,1,500,2
CUST718,130,1,75,1
CUST719,273,1,60,2
CUST720,341,1,1500,0
CUST721,233,1,500,2
CUST722,172,1,900,3
CUST723,199,1,200,2
CUST724,258,1,150,2
CUST725,134,1,300,1
CUST726,199,1,1200,0
CUST727,194,1,900,0
CUST728,172,1,150,1
CUST729,224,1,1200,0
CUST730,151,1,50,1
CUST731,237,1,2000,0
CUST732,325,1,1000,0
CUST733,126,1,30,1
CUST734,357,1,30,2
CUST735,90,1,2000,3
CUST736,340,1,100,2
CUST737,187,1,50,2
CUST738,252,1,100,2
CUST739,34,1,25,1
CUST740,331,1,200,2
CUST741,33,1,300,1
CUST742,346,1,2000,0
CUST743,351,1,2000,0
CUST744,240,1,25,2
CUST745,264,1,100,2
CUST746,356,1,90,2
CUST747,48,1,30,1
CUST748,288,1,150,2
CUST749,244,1,30,2
CUST750,302,1,75,2
CUST751,124,1,50,1
CUST752,24,1,100,1
CUST753,308,1,30,2
CUST754,78,1,100,1
CUST755,255,1,75,2
CUST756,128,1,1200,3
CUST757,8,1,1200,3
CUST758,235,1,100,2
CUST759,178,1,100,1
CUST760,281,1,500,2
CUST761,56,1,500,1
CUST762,56,1,50,1
CUST763,308,1,50,2
CUST764,283,1,25,2
CUST765,207,1,200,2
CUST766,311,1,900,0
CUST767,70,1,75,1
CUST768,353,1,75,2
CUST769,207,1,120,2
CUST770,72,1,50,1
CUST771,20,1,50,1
CUST772,174,1,30,1
CUST773,163,1,2000,3
CUST774,265,1,50,2
CUST775,328,1,100,2
CUST776,63,1,90,1
CUST777,13,1,150,1
CUST778,45,1,100,1
CUST779,242,1,1000,0
CUST780,314,1,50,2
CUST781,10,1,500,1
CUST782,212,1,900,0
CUST783,16,1,300,1
CUST784,59,1,500,1
CUST785,305,1,200,2
CUST786,77,1,100,1
CUST787,345,1,25,2
CUST788,189,1,900,0
CUST789,94,1,2000,3
CUST790,147,1,25,1
CUST791,28,1,25,1
CUST792,177,1,50,1
CUST793,331,1,30,2
CUST794,107,1,300,1
CUST795,35,1,300,1
CUST796,192,1,120,2
CUST797,360,1,75,2
CUST798,151,1,50,1
CUST799,116,1,100,1
CUST800,312,1,1200,0
CUST801,145,1,200,1
CUST802,181,1,30,1
CUST803,41,1,100,1
CUST804,131,1,30,1
CUST805,4,1,1500,3
CUST806,288,1,900,0
CUST807,144,1,200,1
CUST808,276,1,2000,0
CUST809,99,1,100,1
CUST810,33,1,100,1
CUST811,228,1,50,2
CUST812,51,1,75,1
CUST813,91,1,150,1
CUST814,119,1,500,1
CUST815,128,1,75,1
CUST816,143,1,1000,3
CUST817,63,1,200,1
CUST818,229,1,500,2
CUST819,201,1,100,2
CUST820,241,1,200,2
CUST821,322,1,300,2
CUST822,224,1,150,2
CUST823,136,1,100,1
CUST824,242,1,120,2
CUST825,129,1,25,1
CUST826,75,1,300,1
CUST827,54,1,900,3
CUST828,24,1,1200,3
CUST829,172,1,90,1
CUST830,194,1,150,2
CUST831,352,1,100,2
CUST832,113,1,2000,3
CUST833,200,1,200,2
CUST834,273,1,60,2
CUST835,117,1,200,1
CUST836,258,1,50,2
CUST837,185,1,90,2
CUST838,234,1,600,2
CUST839,192,1,1200,0
CUST840,223,1,50,2
CUST841,61,1,100,1
CUST842,7,1,600,1
CUST843,225,1,1500,0
CUST844,82,1,150,1
CUST845,361,1,500,2
CUST846,102,1,50,1
CUST847,269,1,1200,0
CUST848,323,1,75,2
CUST849,243,1,50,2
CUST850,158,1,1000,3
CUST851,116,1,50,1
CUST852,82,1,300,1
CUST853,243,1,1000,0
CUST854,13,1,50,1
CUST855,123,1,25,1
CUST856,36,1,120,1
CUST857,2,1,50,1
CUST858,115,1,100,1
CUST859,137,1,1500,3
CUST860,358,1,200,2
CUST861,319,1,90,2
CUST862,216,1,1200,0
CUST863,253,1,50,2
CUST864,159,1,500,1
CUST865,12,1,300,1
CUST866,242,1,50,2
CUST867,210,1,500,2
CUST868,27,1,300,1
CUST869,69,1,1500,3
CUST870,178,1,120,1
CUST871,124,1,60,1
CUST872,83,1,75,1
CUST873,95,1,100,1
CUST874,190,1,30,2
CUST875,149,1,2000,3
CUST876,85,1,120,1
CUST877,197,1,25,2
CUST878,186,1,30,2
CUST879,7,1,30,1
CUST880,134,1,1000,3
CUST881,228,1,300,2
CUST882,210,1,50,2
CUST883,238,1,500,2
CUST884,248,1,60,2
CUST885,305,1,120,2
CUST886,268,1,900,0
CUST887,205,1,100,2
CUST888,305,1,100,2
CUST889,92,1,50,1
CUST890,13,1,50,1
CUST891,272,1,900,0
CUST892,268,1,50,2
CUST893,256,1,50,2
CUST894,119,1,30,1
CUST895,225,1,120,2
CUST896,65,1,50,1
CUST897,98,1,100,1
CUST898,61,1,90,1
CUST899,222,1,600,2
CUST900,315,1,60,2
CUST901,267,1,30,2
CUST902,215,1,50,2
CUST903,250,1,200,2
CUST904,182,1,500,1
CUST905,275,1,300,2
CUST906,212,1,50,2
CUST907,359,1,25,2
CUST908,4,1,1200,3
CUST909,93,1,300,1
CUST910,302,1,150,2
CUST911,226,1,900,0
CUST912,343,1,150,2
CUST913,339,1,90,2
CUST914,83,1,500,1
CUST915,217,1,90,2
CUST916,9,1,50,1
CUST917,302,1,200,2
CUST918,40,1,90,1
CUST919,115,1,50,1
CUST920,314,1,75,2
CUST921,360,1,75,2
CUST922,73,1,50,1
CUST923,221,1,900,0
CUST924,126,1,100,1
CUST925,121,1,300,1
CUST926,141,1,30,1
CUST927,192,1,2000,0
CUST928,272,1,1200,0
CUST929,340,1,75,2
CUST930,237,1,200,2
CUST931,122,1,120,1
CUST932,308,1,100,2
CUST933,333,1,30,2
CUST934,161,1,500,1
CUST935,115,1,50,1
CUST936,329,1,200,2
CUST937,71,1,500,1
CUST938,44,1,200,1
CUST939,15,1,300,1
CUST940,339,1,30,2
CUST941,289,1,50,2
CUST942,290,1,1500,0
CUST943,78,1,1200,3
CUST944,211,1,50,2
CUST945,323,1,25,2
CUST946,239,1,2000,0
CUST947,306,1,300,2
CUST948,81,1,75,1
CUST949,153,1,50,1
CUST950,56,1,900,3
CUST951,61,1,100,1
CUST952,50,1,25,1
CUST953,251,1,90,2
CUST954,99,1,900,3
CUST955,172,1,25,1
CUST956,136,1,1500,3
CUST957,140,1,120,1
CUST958,214,1,50,2
CUST959,65,1,60,1
CUST960,147,1,60,1
CUST961,210,1,200,2
CUST962,75,1,60,1
CUST963,49,1,50,1
CUST964,336,1,900,0
CUST965,54,1,200,1
CUST966,316,1,1000,0
CUST967,260,1,25,2
CUST968,46,1,900,3
CUST969,258,1,900,0
CUST970,231,1,2000,0
CUST971,28,1,200,1
CUST972,325,1,100,2
CUST973,286,1,50,2
CUST974,244,1,30,2
CUST975,278,1,200,2
CUST976,84,1,600,1
CUST977,328,1,75,2
CUST978,286,1,150,2
CUST979,365,1,25,2
CUST980,157,1,75,1
CUST981,136,1,60,1
CUST982,14,1,90,1
CUST983,62,1,300,1
CUST984,126,1,500,1
CUST985,217,1,50,2
CUST986,350,1,1000,0
CUST987,248,1,900,0
CUST988,219,1,75,2
CUST989,5,1,25,1
CUST990,222,1,1000,0
CUST991,7,1,100,1
CUST992,134,1,60,1
CUST993,330,1,150,2
CUST994,15,1,1000,3
CUST995,247,1,30,2
CUST996,231,1,50,2
CUST997,46,1,90,1
CUST998,65,1,100,1
CUST999,28,1,150,1
